DateTime,Temperature,Humidity,Wind Speed,Zone 1 Power Consumption,Zone 2 Power Consumption,Zone 3 Power Consumption
1/1/17 0:00,6.559,73.8,0.083,34055.6962,16128.87538,20240.96386
1/1/17 0:10,6.414,74.5,0.083,29814.68354,19375.07599,20131.08434
1/1/17 0:20,6.313,74.5,0.08,29128.10127,19006.68693,19668.43373
1/1/17 0:30,6.121,75,0.083,28228.86076,18361.09422,18899.27711
1/1/17 0:40,5.921,75.7,0.081,27335.6962,17872.34043,18442.40964
1/1/17 0:50,5.853,76.9,0.081,26624.81013,17416.41337,18130.12048
1/1/17 1:00,5.641,77.7,0.08,25998.98734,16993.31307,17945.06024
1/1/17 1:10,5.496,78.2,0.085,25446.07595,16661.39818,17459.27711
1/1/17 1:20,5.678,78.1,0.081,24777.72152,16227.35562,17025.54217
1/1/17 1:30,5.491,77.3,0.082,24279.49367,15939.20973,16794.21687
1/1/17 1:40,5.516,77.5,0.081,23896.70886,15435.86626,16638.07229
1/1/17 1:50,5.471,76.7,0.083,23544.3038,15213.37386,16395.18072
1/1/17 2:00,5.059,78.6,0.081,23003.5443,15169.60486,16117.59036
1/1/17 2:10,4.968,78.8,0.084,22329.11392,14710.0304,15822.6506
1/1/17 2:20,4.975,78.9,0.083,22092.1519,14421.8845,15672.28916
1/1/17 2:30,4.897,79.1,0.083,21903.79747,14104.55927,15597.10843
1/1/17 2:40,5.02,79.7,0.081,21685.06329,13965.95745,15510.36145
1/1/17 2:50,5.407,78.5,0.082,21484.55696,13612.15805,15336.86747
1/1/17 3:00,5.169,77.9,0.083,21107.8481,13535.56231,15140.24096
1/1/17 3:10,5.081,77.7,0.084,20998.48101,13371.42857,15059.27711
1/1/17 3:20,5.041,77.2,0.081,20870.88608,13196.35258,15013.01205
1/1/17 3:30,5.034,76.9,0.083,20870.88608,13167.17325,14897.3494
1/1/17 3:40,4.896,76.6,0.085,20597.46835,13137.99392,14602.40964
1/1/17 3:50,4.805,76.2,0.081,20421.26582,12908.20669,14590.84337
1/1/17 4:00,4.753,75.7,0.083,20524.55696,12820.66869,14585.06024
1/1/17 4:10,4.901,74.4,0.083,20482.02532,13032.21884,14452.04819
1/1/17 4:20,5.203,74.1,0.085,20530.63291,12926.44377,14232.28916
1/1/17 4:30,5.394,71.9,0.081,20512.40506,12948.32827,14157.10843
1/1/17 4:40,5.156,74,0.079,20494.17722,12922.79635,14232.28916
1/1/17 4:50,5.179,74.2,0.083,20311.89873,12879.02736,14243.85542
1/1/17 5:00,4.934,72.9,0.082,20542.78481,12806.07903,14243.85542
1/1/17 5:10,4.718,75.8,0.08,20621.77215,12853.49544,14105.06024
1/1/17 5:20,5.546,74,0.082,20627.8481,12842.55319,14266.98795
1/1/17 5:30,4.658,73.5,0.08,20797.97468,13137.99392,14353.73494
1/1/17 5:40,4.382,76.9,0.081,20858.73418,13203.64742,14538.79518
1/1/17 5:50,4.212,78.3,0.081,21393.41772,13575.68389,14862.6506
1/1/17 6:00,4.308,77.2,0.081,22219.74684,14068.08511,14908.91566
1/1/17 6:10,4.735,74.3,0.08,21928.10127,13852.88754,14729.63855
1/1/17 6:20,4.769,75.6,0.082,21776.20253,13626.74772,14625.54217
1/1/17 6:30,4.92,73.7,0.083,21654.68354,13582.97872,14480.96386
1/1/17 6:40,4.408,76.7,0.082,21466.32911,13539.20973,14319.03614
1/1/17 6:50,4.29,77,0.085,20846.58228,12908.20669,14018.31325
1/1/17 7:00,4.304,76,0.082,19983.79747,12342.85714,13492.04819
1/1/17 7:10,4.513,74.6,0.084,18908.35443,11897.87234,12630.36145
1/1/17 7:20,4.489,74.3,0.082,18167.08861,11551.36778,11600.96386
1/1/17 7:30,4.356,72.3,0.082,18075.94937,11263.22188,10640.96386
1/1/17 7:40,4.478,72.2,0.083,18063.79747,10719.75684,10455.90361
1/1/17 7:50,4.583,71,0.083,18045.56962,10924.01216,10496.38554
1/1/17 8:00,4.794,72,0.084,18385.82278,10949.54407,10710.36145
1/1/17 8:10,4.807,73.1,0.082,18987.34177,11347.11246,10837.59036
1/1/17 8:20,4.757,73.5,0.083,19576.70886,11733.7386,10941.68675
1/1/17 8:30,4.509,74.5,0.084,19837.97468,11945.28875,11178.79518
1/1/17 8:40,4.346,74.8,0.082,20166.07595,12029.17933,11514.21687
